"Presentation Grid: Direction [0,1,0] (m)","Presentation Grid: Static Pressure (Pa)"
6.0E-5,226.50075661303708
6.0E-5,225.5089660541853
6.0E-5,225.06323493769742
6.0E-5,224.44205248064827
6.0E-5,223.9001825734158
6.0E-5,223.46673835301772
6.0E-5,223.0006802001153
6.0E-5,222.33882043714402
6.0E-5,221.74873204017058
6.0E-5,221.21960514242528
6.0E-5,220.57407805367257
6.0E-5,219.96053409701562
6.0E-5,219.4490393478336
6.0E-5,218.6930148906249
6.0E-5,218.40489126184548
6.0E-5,217.52362039081345
6.0E-5,216.99170710239196
6.0E-5,216.43480792446644
6.0E-5,215.8294504757796
6.0E-5,215.25344710150966
6.0E-5,214.62394465331454
6.0E-5,214.05558101955103
6.0E-5,213.55546261416748
6.0E-5,213.11866857786663
6.0E-5,212.66327809897484
6.0E-5,212.1634759180597
6.0E-5,211.2222508713603
6.0E-5,211.2222508713603
6.0E-5,210.61771538859466
6.0E-5,210.1219040794531
6.0E-5,209.57836559345014
6.0E-5,208.99161373096285
6.0E-5,207.97416146815522
6.0E-5,207.40998583694454
6.0E-5,206.8543231577496
6.0E-5,206.33646151679568
6.0E-5,205.90970906047733
6.0E-5,205.44630353699904
6.0E-5,204.8317725264933
6.0E-5,204.1760378354811
6.0E-5,203.870443654494
6.0E-5,203.5677366994205
6.0E-5,202.85303834121441
6.0E-5,202.313245013298
6.0E-5,201.81070270491182
6.0E-5,201.18995421932777
6.0E-5,200.52700483301305
6.0E-5,199.9148497178685
6.0E-5,199.30156590377737
6.0E-5,198.85738050717555
6.0E-5,198.3543660872092
6.0E-5,197.93271203477343
6.0E-5,197.50779135567427
6.0E-5,196.9187335576571
6.0E-5,196.00144083387568
6.0E-5,195.62501097950735
6.0E-5,195.17068456448033
6.0E-5,194.6749718617648
6.0E-5,193.99350982537726
6.0E-5,193.46139856812079
6.0E-5,193.24419027994736
6.0E-5,192.28868095431244
6.0E-5,191.97950476508413
6.0E-5,191.63087450653256
6.0E-5,190.8028535546182
6.0E-5,190.12487196632264
6.0E-5,189.7517512399354
6.0E-5,189.4743693046621
6.0E-5,188.9626745574933
6.0E-5,188.43472486756218
6.0E-5,187.59447677244316
6.0E-5,187.0942725414643
6.0E-5,186.4786788148631
6.0E-5,185.90849900987814
6.0E-5,185.47437727323268
6.0E-5,185.0735414280789
6.0E-5,184.55951467651175
6.0E-5,184.01200774218887
6.0E-5,183.54855433819466
6.0E-5,183.0735076230776
6.0E-5,182.185680274677
6.0E-5,182.185680274677
6.0E-5,181.63730009831488
6.0E-5,180.66513005862362
6.0E-5,180.24206883108127
6.0E-5,179.86970254051266
6.0E-5,179.39052006424754
6.0E-5,178.70526820921805
6.0E-5,178.46226887792
6.0E-5,177.97480976278894
6.0E-5,177.05068902135827
6.0E-5,176.6878000656434
6.0E-5,176.26825685266522
6.0E-5,175.80203530954896
6.0E-5,175.31949622785578
6.0E-5,174.78791050770087
6.0E-5,174.29766769208072
6.0E-5,173.50842795698554
6.0E-5,173.06106133120193
6.0E-5,172.65368662543187
6.0E-5,172.20154889747937
6.0E-5,171.65950724930008
6.0E-5,171.3074745888989
6.0E-5,170.47720698887224
8.0E-5,241.56751634686952
8.0E-5,241.0310925320373
8.0E-5,240.6333257293445
8.0E-5,240.1551002256747
8.0E-5,239.62798215361545
8.0E-5,238.77879835281055
8.0E-5,238.14391262611025
8.0E-5,237.5209964649839
8.0E-5,236.93509502855886
8.0E-5,236.40863429466845
8.0E-5,235.87117110652616
8.0E-5,235.36057982236525
8.0E-5,234.76833016896126
8.0E-5,234.17556110133592
8.0E-5,233.5987081285566
8.0E-5,233.05890908895526
8.0E-5,232.5652138874866
8.0E-5,232.02723225823138
8.0E-5,231.33435947209364
8.0E-5,230.6597964349785
8.0E-5,229.8657329028356
8.0E-5,229.8657329028356
8.0E-5,228.89395065797726
8.0E-5,228.24284258892294
8.0E-5,228.24284258892294
8.0E-5,227.07852123636985
8.0E-5,226.50075661303708
8.0E-5,225.94704735063715
8.0E-5,225.5089660541853
8.0E-5,225.03638701656018
8.0E-5,224.44205248064827
8.0E-5,223.9001825734158
8.0E-5,223.46673835301772
8.0E-5,223.0006802001153
8.0E-5,222.33882043714402
8.0E-5,221.74873204017058
8.0E-5,221.21960514242528
8.0E-5,220.57407805367257
8.0E-5,219.96053409701562
8.0E-5,219.4490393478336
8.0E-5,218.88499829915236
8.0E-5,218.40489126184548
8.0E-5,217.52362039081345
8.0E-5,216.99170710239196
8.0E-5,216.43480792446644
8.0E-5,215.8294504757796
8.0E-5,215.25344710150966
8.0E-5,214.62394465331454
8.0E-5,214.62394465331454
8.0E-5,213.55546261416748
8.0E-5,213.11866857786663
8.0E-5,212.68680968822446
8.0E-5,212.1634759180597
8.0E-5,211.2222508713603
8.0E-5,211.2222508713603
8.0E-5,210.61771538859466
8.0E-5,210.1219040794531
8.0E-5,209.57836559345014
8.0E-5,208.99161373096285
8.0E-5,207.97416146815522
8.0E-5,207.40998583694454
8.0E-5,206.8543231577496
8.0E-5,206.33646151679568
8.0E-5,205.90970906047733
8.0E-5,205.41386038041674
8.0E-5,204.8317725264933
8.0E-5,204.1760378354811
8.0E-5,203.5677366994205
8.0E-5,203.5677366994205
8.0E-5,202.85303834121441
8.0E-5,202.313245013298
8.0E-5,201.81070270491182
8.0E-5,201.18995421932777
8.0E-5,200.52700483301305
8.0E-5,199.9148497178685
8.0E-5,199.30156590377737
8.0E-5,198.7921137317462
8.0E-5,198.3543660872092
8.0E-5,197.93271203477343
8.0E-5,197.50779135567427
8.0E-5,196.9187335576571
8.0E-5,196.44420291911229
8.0E-5,195.55635513845482
8.0E-5,195.17068456448033
8.0E-5,194.7557705497602
8.0E-5,194.2308164551796
8.0E-5,193.70753570948727
8.0E-5,192.76052582231932
8.0E-5,192.76052582231932
8.0E-5,191.98209222237347
8.0E-5,191.63087450653256
8.0E-5,190.8028535546182
8.0E-5,190.12487196632264
8.0E-5,190.12487196632264
8.0E-5,189.4743693046621
8.0E-5,188.9626745574933
8.0E-5,188.25454065742088
8.0E-5,187.59447677244316
8.0E-5,187.0942725414643
8.0E-5,186.4786788148631
8.0E-5,185.90849900987814
8.0E-5,185.47437727323268
8.0E-5,185.0735414280789
8.0E-5,184.55951467651175
8.0E-5,184.09021997032687
8.0E-5,183.54855433819466
8.0E-5,183.0735076230776
8.0E-5,182.185680274677
8.0E-5,182.185680274677
8.0E-5,181.63730009831488
8.0E-5,180.66513005862362
8.0E-5,180.24206883108127
8.0E-5,179.86970254051266
8.0E-5,179.60138514477876
8.0E-5,179.04948245495325
8.0E-5,178.46226887792
8.0E-5,177.97480976278894
8.0E-5,177.05068902135827
8.0E-5,176.6878000656434
8.0E-5,176.26825685266522
8.0E-5,175.80203530954896
8.0E-5,175.31949622785578
8.0E-5,174.78791050770087
8.0E-5,174.29766769208072
8.0E-5,173.50842795698554
8.0E-5,173.06106133120193
8.0E-5,172.65368662543187
8.0E-5,172.20154889747937
8.0E-5,171.65950724930008
8.0E-5,171.2114769142754
8.0E-5,170.47720698887224
1.0E-4,241.56751634686952
1.0E-4,241.0310925320373
1.0E-4,240.6333257293445
1.0E-4,240.1551002256747
1.0E-4,239.62798215361545
1.0E-4,238.77879835281055
1.0E-4,238.14391262611025
1.0E-4,237.5209964649839
1.0E-4,237.5209964649839
1.0E-4,236.40863429466845
1.0E-4,235.87117110652616
1.0E-4,235.36057982236525
1.0E-4,234.76833016896126
1.0E-4,234.17556110133592
1.0E-4,233.5987081285566
1.0E-4,233.05890908895526
1.0E-4,232.5652138874866
1.0E-4,232.02723225823138
1.0E-4,231.33435947209364
1.0E-4,230.6597964349785
1.0E-4,230.6597964349785
1.0E-4,229.8657329028356
1.0E-4,228.89395065797726
1.0E-4,228.4804695211933
1.0E-4,228.24284258892294
1.0E-4,227.07852123636985
1.0E-4,226.78328422660707
1.0E-4,226.2517103087739
1.0E-4,225.5089660541853
1.0E-4,225.03638701656018
1.0E-4,224.44205248064827
1.0E-4,223.9001825734158
1.0E-4,223.46673835301772
1.0E-4,223.0006802001153
1.0E-4,222.33882043714402
1.0E-4,221.74873204017058
1.0E-4,221.21960514242528
1.0E-4,220.57407805367257
1.0E-4,219.96053409701562
1.0E-4,219.4490393478336
1.0E-4,218.88499829915236
1.0E-4,218.40489126184548
1.0E-4,217.96162405767245
1.0E-4,216.99170710239196
1.0E-4,216.43480792446644
1.0E-4,215.8294504757796
1.0E-4,215.25344710150966
1.0E-4,214.62394465331454
1.0E-4,214.62394465331454
1.0E-4,214.05558101955103
1.0E-4,213.11866857786663
1.0E-4,212.68680968822446
1.0E-4,212.1634759180597
1.0E-4,211.66913029842544
1.0E-4,211.2222508713603
1.0E-4,210.61771538859466
1.0E-4,210.1219040794531
1.0E-4,209.23109738365747
1.0E-4,208.99161373096285
1.0E-4,207.97416146815522
1.0E-4,207.40998583694454
1.0E-4,206.8543231577496
1.0E-4,206.41959179594414
1.0E-4,205.90970906047733
1.0E-4,205.41386038041674
1.0E-4,204.8317725264933
1.0E-4,204.1760378354811
