"Presentation Grid: Direction [0,1,0] (m)","Presentation Grid: Temperature (K)"
6.0E-5,1349.10791015625
6.0E-5,1347.4927978515625
6.0E-5,1347.1932373046875
6.0E-5,1346.9708251953125
6.0E-5,1345.2655029296875
6.0E-5,1344.684326171875
6.0E-5,1343.38134765625
6.0E-5,1342.64404296875
6.0E-5,1342.4122314453125
6.0E-5,1341.37451171875
6.0E-5,1340.5009765625
6.0E-5,1341.3526611328125
6.0E-5,1339.2012939453125
6.0E-5,1339.1153564453125
6.0E-5,1338.2205810546875
6.0E-5,1338.2205810546875
6.0E-5,1337.43603515625
6.0E-5,1336.07421875
6.0E-5,1335.4783935546875
6.0E-5,1334.8851318359375
6.0E-5,1335.00146484375
6.0E-5,1334.345703125
6.0E-5,1332.672607421875
6.0E-5,1332.154296875
6.0E-5,1330.850830078125
6.0E-5,1329.7366943359375
6.0E-5,1329.845703125
6.0E-5,1329.2584228515625
6.0E-5,1328.5452880859375
6.0E-5,1327.8568115234375
6.0E-5,1327.2152099609375
6.0E-5,1325.68115234375
6.0E-5,1325.703125
6.0E-5,1324.4189453125
6.0E-5,1323.9613037109375
6.0E-5,1323.0799560546875
6.0E-5,1323.5897216796875
6.0E-5,1321.21044921875
8.0E-5,1413.0882568359375
8.0E-5,1412.41943359375
8.0E-5,1411.7076416015625
8.0E-5,1411.5081787109375
8.0E-5,1410.5428466796875
8.0E-5,1408.4588623046875
8.0E-5,1408.9879150390625
8.0E-5,1408.21142578125
8.0E-5,1408.1510009765625
8.0E-5,1406.5780029296875
8.0E-5,1406.9925537109375
8.0E-5,1406.268798828125
8.0E-5,1404.8955078125
8.0E-5,1404.3612060546875
8.0E-5,1404.418701171875
8.0E-5,1403.618896484375
8.0E-5,1402.876220703125
8.0E-5,1402.2034912109375
8.0E-5,1401.397216796875
8.0E-5,1400.221923828125
8.0E-5,1399.198974609375
8.0E-5,1399.198974609375
8.0E-5,1398.3564453125
8.0E-5,1397.71826171875
8.0E-5,1397.71826171875
8.0E-5,1396.3680419921875
8.0E-5,1395.7567138671875
8.0E-5,1395.01708984375
8.0E-5,1394.1275634765625
8.0E-5,1392.8582763671875
8.0E-5,1392.364501953125
8.0E-5,1391.5819091796875
8.0E-5,1391.5045166015625
8.0E-5,1390.482177734375
8.0E-5,1389.5208740234375
8.0E-5,1389.335205078125
8.0E-5,1388.947998046875
8.0E-5,1387.584716796875
8.0E-5,1386.8980712890625
8.0E-5,1386.187255859375
8.0E-5,1385.3367919921875
8.0E-5,1384.94873046875
8.0E-5,1384.3951416015625
8.0E-5,1382.8389892578125
8.0E-5,1382.5350341796875
8.0E-5,1382.28466796875
8.0E-5,1381.0281982421875
8.0E-5,1380.3004150390625
8.0E-5,1380.3004150390625
8.0E-5,1379.5849609375
8.0E-5,1378.43017578125
8.0E-5,1377.3353271484375
8.0E-5,1376.84423828125
8.0E-5,1376.230224609375
8.0E-5,1376.230224609375
8.0E-5,1375.6378173828125
8.0E-5,1374.9583740234375
8.0E-5,1374.5994873046875
8.0E-5,1373.8123779296875
8.0E-5,1371.4451904296875
8.0E-5,1371.4295654296875
8.0E-5,1370.897705078125
8.0E-5,1370.51025390625
8.0E-5,1369.260986328125
8.0E-5,1368.2041015625
8.0E-5,1368.1734619140625
8.0E-5,1367.246826171875
8.0E-5,1366.4205322265625
8.0E-5,1366.4205322265625
8.0E-5,1365.9173583984375
8.0E-5,1364.9747314453125
8.0E-5,1364.015869140625
8.0E-5,1362.8165283203125
8.0E-5,1362.863525390625
8.0E-5,1361.8712158203125
8.0E-5,1360.8486328125
8.0E-5,1358.9503173828125
8.0E-5,1360.0841064453125
8.0E-5,1358.524658203125
8.0E-5,1358.79541015625
8.0E-5,1357.205078125
8.0E-5,1356.63916015625
8.0E-5,1354.7991943359375
8.0E-5,1355.782958984375
8.0E-5,1353.8345947265625
8.0E-5,1353.5303955078125
8.0E-5,1352.3719482421875
8.0E-5,1351.5810546875
8.0E-5,1351.5810546875
8.0E-5,1350.078125
8.0E-5,1350.2598876953125
8.0E-5,1349.41455078125
8.0E-5,1348.0457763671875
8.0E-5,1348.0457763671875
8.0E-5,1347.4927978515625
8.0E-5,1347.1932373046875
8.0E-5,1345.0736083984375
8.0E-5,1345.2655029296875
8.0E-5,1344.684326171875
8.0E-5,1343.38134765625
8.0E-5,1342.64404296875
8.0E-5,1342.4122314453125
8.0E-5,1341.37451171875
8.0E-5,1340.5009765625
8.0E-5,1339.6505126953125
8.0E-5,1339.2012939453125
8.0E-5,1339.1153564453125
8.0E-5,1338.2205810546875
8.0E-5,1338.2205810546875
8.0E-5,1337.43603515625
8.0E-5,1336.07421875
8.0E-5,1335.4783935546875
8.0E-5,1334.8851318359375
8.0E-5,1332.8143310546875
8.0E-5,1333.244140625
8.0E-5,1332.672607421875
8.0E-5,1332.154296875
8.0E-5,1330.850830078125
8.0E-5,1329.7366943359375
8.0E-5,1329.845703125
8.0E-5,1329.2584228515625
8.0E-5,1328.5452880859375
8.0E-5,1327.8568115234375
8.0E-5,1327.2152099609375
8.0E-5,1325.68115234375
8.0E-5,1325.703125
8.0E-5,1324.4189453125
8.0E-5,1323.9613037109375
8.0E-5,1323.0799560546875
8.0E-5,1321.720947265625
8.0E-5,1321.21044921875
1.0E-4,1413.0882568359375
1.0E-4,1412.41943359375
1.0E-4,1411.7076416015625
1.0E-4,1411.5081787109375
1.0E-4,1410.5428466796875
1.0E-4,1408.4588623046875
1.0E-4,1408.9879150390625
1.0E-4,1408.21142578125
1.0E-4,1408.21142578125
1.0E-4,1406.5780029296875
1.0E-4,1406.9925537109375
1.0E-4,1406.268798828125
1.0E-4,1404.8955078125
1.0E-4,1404.3612060546875
1.0E-4,1404.418701171875
1.0E-4,1403.618896484375
1.0E-4,1402.876220703125
1.0E-4,1402.2034912109375
1.0E-4,1401.397216796875
1.0E-4,1400.221923828125
1.0E-4,1400.221923828125
1.0E-4,1399.198974609375
1.0E-4,1398.3564453125
1.0E-4,1395.9354248046875
1.0E-4,1397.71826171875
1.0E-4,1396.3680419921875
1.0E-4,1393.779541015625
1.0E-4,1392.876953125
1.0E-4,1394.1275634765625
1.0E-4,1392.8582763671875
1.0E-4,1392.364501953125
1.0E-4,1391.5819091796875
1.0E-4,1391.5045166015625
1.0E-4,1390.482177734375
1.0E-4,1389.5208740234375
1.0E-4,1389.335205078125
1.0E-4,1388.947998046875
1.0E-4,1387.584716796875
